Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
B cells naive,0.99964048722064,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999985063259,0.05721080439614609
B cells memory,0,0.99974785051764,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999922128638,0.06611310520773112
Plasma cells,0,0.0001,0.99936463277911,0.0001,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0.0001,0,0,0,0,0.9999999827924851,0.4318829292260928
T cells CD8,0,0,0,0.99984006923514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999958868,0.18040782693179278
T cells CD4 naive,0,0,0,0,0.99973471680031,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999910893521,0.21145319431851878
T cells CD4 memory resting,0,0,0,0,0,0.99983806471648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999967397715,0.26179814856024913
T cells CD4 memory activated,0,0,0,0,0.0001,0,0.99978702560805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999839565588,0.40547730221683936
T cells follicular helper,0,0,0,0,0,0,0,0.99976644246429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999936617353,0.13602605118425448
T cells regulatory (Tregs),0,0,0,0,0,0.0001,0,0.0001,0.99972243502669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999936559403,0.14102465489445418
T cells gamma delta,0,0,0,0,0,0,0,0,0,0.9998218726321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999982268587,0.0690951875013883
NK cells resting,0,0,0,0.0001,0.0001,0,0,0.0001,0,0.0001,0.99939552467922,0,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0.9999999798980804,0.11544400696376722
NK cells activated,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0002,0.99940543763468,0,0,0,0,0,0,0,0.0001,0,0,0,0.9999999891822412,0.36903445300690174
Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0.99987536165316,0,0,0,0,0,0,0,0,0,0,0.9999999936933539,0.2149518689191671
Macrophages M0,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0,0,0.99976030273478,0,0,0,0,0,0,0,0,0,0.9999999868726503,0.11498420804970905
Macrophages M1,0,0,0,0.0001,0.0001,0,0.0001,0,0,0,0.0001,0,0,0,0.9993036553042,0.0001,0,0,0.0001,0,0,0.0001,0,0.9999999825665153,0.5332503325850491
Macrophages M2,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.99978231142852,0,0,0,0,0,0,0,0.9999999875857547,0.2942360519371472
Dendritic cells resting,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.99982822073376,0,0,0,0,0,0,0.9999999893997167,0.26822698910109577
Dendritic cells activated,0,0.0001,0,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.99954861298695,0,0,0,0,0,0.9999999796292653,0.021818058959498923
Mast cells resting,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.99976383442683,0,0,0,0,0.9999999924829442,0.09455135077548707
Mast cells activated,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0.99944173595964,0,0,0,0.9999999825571406,0.1659375867965477
Eosinophils,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.9997091916117,0,0,0.999999986425149,0.12049371587442397
Neutrophils,0,0,0,0,0.0001,0,0.0001,0,0,0,0.0002,0,0.0001,0,0,0,0,0,0,0.0001,0,0.99931700824248,0,0.9999999579008988,0.218286621923209
